year,n_nodes,n_edges,density,mean_in_degree,top_pagerank,top_pagerank_node,pagerank_gini,n_communities
2000,2,1,0.5,0.5,0.6491,"Kenneth M. Zeran v. America Online,",0.1491,1
2001,2,1,0.5,0.5,0.6491,"Kenneth M. Zeran v. America Online,",0.1491,1
2002,2,1,0.5,0.5,0.6491,"Kenneth M. Zeran v. America Online,",0.1491,1
2003,6,13,0.4333,2.167,0.3945,"Kenneth M. Zeran v. America Online,",0.3275,1
2004,6,13,0.4333,2.167,0.3945,"Kenneth M. Zeran v. America Online,",0.3275,1
2005,6,13,0.4333,2.167,0.3945,"Kenneth M. Zeran v. America Online,",0.3275,1
2006,8,19,0.3393,2.375,0.349,"Kenneth M. Zeran v. America Online,",0.3737,2
2007,11,34,0.3091,3.091,0.3164,"Kenneth M. Zeran v. America Online,",0.4035,2
2008,15,53,0.2524,3.533,0.2911,"Kenneth M. Zeran v. America Online,",0.4377,3
2009,19,76,0.2222,4.0,0.2709,"Kenneth M. Zeran v. America Online,",0.4605,4
2010,20,85,0.2237,4.25,0.2674,"Kenneth M. Zeran v. America Online,",0.465,4
2011,20,85,0.2237,4.25,0.2674,"Kenneth M. Zeran v. America Online,",0.465,4
2012,21,86,0.2048,4.095,0.2608,"Kenneth M. Zeran v. America Online,",0.4692,4
2013,21,86,0.2048,4.095,0.2608,"Kenneth M. Zeran v. America Online,",0.4692,4
2014,24,107,0.1938,4.458,0.2494,"Kenneth M. Zeran v. America Online,",0.4787,4
2015,26,113,0.1738,4.346,0.2448,"Kenneth M. Zeran v. America Online,",0.4858,3
2016,34,162,0.1444,4.765,0.2323,"Kenneth M. Zeran v. America Online,",0.5074,4
2017,35,166,0.1395,4.743,0.2311,"Kenneth M. Zeran v. America Online,",0.5083,4
2018,36,170,0.1349,4.722,0.2308,"Kenneth M. Zeran v. America Online,",0.5123,5
2019,43,215,0.119,5.0,0.2216,"Kenneth M. Zeran v. America Online,",0.5275,5
2020,45,222,0.1121,4.933,0.2202,"Kenneth M. Zeran v. America Online,",0.5291,6
2021,48,236,0.1046,4.917,0.2168,"Kenneth M. Zeran v. America Online,",0.5333,4
2022,51,253,0.0992,4.961,0.2138,"Kenneth M. Zeran v. America Online,",0.538,4
2023,55,271,0.0912,4.927,0.2086,"Kenneth M. Zeran v. America Online,",0.5426,5
2024,59,295,0.0862,5.0,0.2043,"Kenneth M. Zeran v. America Online,",0.545,7
2025,63,320,0.0819,5.079,0.1999,"Kenneth M. Zeran v. America Online,",0.5467,7
